eid,raw_eid,highway
0,2569,tertiary
44405,34855904,primary
48393,40001847,secondary
1,2569,tertiary
2,2569,tertiary
3,2569,tertiary
72900,156998823,primary
134276,1016087350,tertiary
4,2570,secondary
121992,773816528,secondary
45468,35980522,primary
5,2573,residential
6,2573,residential
7,2573,residential
8,2573,residential
9,2573,residential
10,2573,residential
11,2573,residential
12,2573,residential
13,2573,residential
14,2573,residential
15,2573,residential
16,2573,residential
17,2573,residential
18,2573,residential
19,2573,residential
20,2573,residential
5934,4434920,residential
21,2573,residential
22,2573,residential
23,2573,residential
24,2573,residential
25,2573,residential
26,2573,residential
27,2573,residential
28,2573,residential
29,2574,tertiary
30,2574,tertiary
31,2574,tertiary
32,2574,tertiary
33,2574,tertiary
1924,4039585,residential
34,2574,tertiary
141779,1183368862,tertiary
36,286314,residential
20655,20445190,primary
101506,506006524,living_street
37,286537,living_street
38,286537,living_street
39,286537,living_street
40,286537,living_street
41,286537,living_street
77,286543,living_street
80,286546,living_street
42,286537,living_street
43,286537,living_street
44,286537,living_street
45,286537,living_street
46,286537,living_street
47,286537,living_street
48,286537,living_street
49,286537,living_street
50,286537,living_street
51,286537,living_street
52,286537,living_street
141548,1175878068,living_street
53,286538,living_street
58147,64963503,living_street
55530,55407694,living_street
54,286539,living_street
55,286539,living_street
56,286539,living_street
57,286539,living_street
97,286552,living_street
58,286539,living_street
59,286539,living_street
60,286539,living_street
61,286539,living_street
62,286539,living_street
63,286539,living_street
64,286539,living_street
49772,41466668,primary
65,286541,living_street
96193,390298292,tertiary
66,286541,living_street
67,286541,living_street
84,286548,living_street
68,286541,living_street
69,286541,living_street
5923,4433292,living_street
70,286541,living_street
71,286541,living_street
72,286541,living_street
81,286547,living_street
73,286541,living_street
78,286543,living_street
79,286543,living_street
23551,22972090,residential
82,286547,living_street
83,286547,living_street
55532,55407694,living_street
85,286548,living_street
86,286548,living_street
55539,55407694,living_street
87,286549,tertiary
94,286551,tertiary
141546,1175878061,living_street
88,286549,tertiary
89,286549,tertiary
90,286550,tertiary
91,286550,tertiary
92,286550,tertiary
93,286550,tertiary
4065,4221414,residential
114014,676755444,primary
95,286551,tertiary
96,286551,tertiary
18706,17249305,tertiary
98,286552,living_street
99,286552,living_street
148232,1296929328,living_street
100,286553,living_street
101,286553,living_street
102,286554,primary
49777,41466669,primary
103,286554,primary
104,286554,primary
23543,22964641,primary
105,286555,primary
112,1345035,residential
50539,43904125,primary
135467,1040019544,service
113,1345035,residential
114,1345035,residential
115,1345035,residential
116,1345035,residential
117,1345035,residential
118,1881556,residential
34665,27140345,residential
119,1881556,residential
120,1881556,residential
127600,871902108,service
121,1881556,residential
127582,871902101,service
122,1881556,residential
123,1881556,residential
124,1881556,residential
44755,34964535,service
125,1881556,residential
126,1881556,residential
127,1881556,residential
128,1881556,residential
134273,1016087349,residential
129,2114249,secondary
113998,675813418,tertiary
130,2114249,secondary
131,2114249,secondary
132,2114249,secondary
82170,237932366,secondary
135854,1059216050,secondary
133,2114251,tertiary
22573,22820207,tertiary
155571,1458763291,tertiary
134,2114252,residential
136735,1076642611,secondary
135,2114252,residential
136,2114252,residential
136729,1076642610,tertiary
139,3127158,primary
1807,4039512,primary
140,3127158,primary
121073,757328920,primary
141,3127175,service
116778,690204915,secondary
142,3127175,service
143,3127175,service
116782,690204918,tertiary
144,3127176,residential
145,3127176,residential
146,3127176,residential
147,3127176,residential
110214,627595550,service
148,3127176,residential
149,3127176,residential
150,3127176,residential
151,3127176,residential
152,3127176,residential
153,3127176,residential
154,3127176,residential
68145,120596404,service
155,3127176,residential
156,3127176,residential
68208,120726595,secondary
146728,1274578496,residential
157,3127178,residential
22442,22779142,residential
158,3127178,residential
141229,1167745259,residential
165,3127185,secondary
88684,304003330,residential
166,3127185,secondary
167,3127185,secondary
168,3127185,secondary
169,3127185,secondary
170,3127185,secondary
132455,977417672,secondary
171,3127196,tertiary
81850,233179770,primary
172,3127196,tertiary
173,3127196,tertiary
56243,56461021,tertiary
56250,56461022,tertiary
79770,207886735,residential
134059,1015228654,residential
174,3496759,residential
60184,74863246,residential
113595,673062635,primary
175,3496759,residential
176,3496759,residential
177,3496759,residential
125494,845789144,residential
178,3498992,residential
1853,4039523,residential
179,3498992,residential
180,3498992,residential
181,3498992,residential
182,3498992,residential
183,3498992,residential
184,3498992,residential
185,3498992,residential
186,3498992,residential
187,3498992,residential
104001,548562634,secondary
111821,654160910,unclassified
195,3599326,secondary
354,3630659,tertiary
140346,1146559450,tertiary
196,3599326,secondary
197,3599326,secondary
198,3599326,secondary
199,3599326,secondary
200,3599326,secondary
201,3599326,secondary
129283,879803158,secondary
207,3599327,secondary
72960,157910468,secondary
89539,309765258,primary
208,3599327,secondary
209,3599327,secondary
210,3599327,secondary
211,3599327,secondary
148588,1303225423,secondary
212,3599341,secondary
153444,1414022476,primary
213,3599341,secondary
214,3599341,secondary
215,3599341,secondary
120908,755684286,service
216,3599341,secondary
217,3599341,secondary
218,3599341,secondary
219,3599341,secondary
26657,23951296,residential
109962,625914983,secondary
224,3630515,primary
90502,320648521,primary
121987,773814788,secondary_link
225,3630515,primary
226,3630515,primary
227,3630515,primary
50534,43904125,primary
53604,51560040,residential
228,3630516,residential
43542,34372786,tertiary
229,3630516,residential
230,3630516,residential
2872,4080691,residential
112738,667267782,residential
231,3630637,tertiary
140335,1146559449,residential
232,3630637,tertiary
233,3630637,tertiary
234,3630637,tertiary
235,3630637,tertiary
236,3630637,tertiary
237,3630637,tertiary
238,3630637,tertiary
239,3630637,tertiary
140349,1146559451,tertiary
242,3630638,residential
60742,79951198,residential
243,3630638,residential
257,3630640,residential
888,4018414,unclassified
45449,35980519,primary
258,3630640,residential
259,3630640,residential
260,3630640,residential
261,3630640,residential
262,3630640,residential
